,lat,long
161,-65.199,18.8846
162,-157.1948,66.2448
163,-120.3483333,35.7985
164,-72.6378,-33.664
165,-111.3658333,45.8633333
166,120.4262,18.6004
167,-162.8616,65.2879
168,143.7574,22.2761
169,-68.4285,17.2688
170,142.1843,30.8757
171,-145.8652,68.8231
172,-66.3923,18.6448
173,-81.6781,18.2483
174,150.1011,-9.7861
175,-114.1072,30.3723
176,-163.88,53.6694
177,-98.4647,36.6611
178,-67.2808,19.1605
179,-124.766,40.4576667
180,57.3626,30.6686
181,-67.0778,18.9618
182,-124.515,40.2933333
183,-163.469,53.3241
184,-64.5703,18.5168
185,149.8267,46.165
186,-72.5328,-33.7003
187,-146.4543,69.1014
188,-27.3365,46.5159
189,-124.5286667,40.2985
190,-66.0776,18.9191
191,-64.999,19.1288
192,146.9481,41.9336
193,-113.8493333,37.5023333
194,155.7629,-6.9926
195,-89.4456667,36.1885
196,-65.9366,19.4653
197,-71.806,-33.1219
198,-144.4272,69.5484
199,-157.8639,55.1583
200,59.9113,16.9192
201,-150.0983,55.9718
202,-146.6814,69.1752
203,142.2525,30.8634
204,-66.1268,19.0741
205,120.3038,-7.2488
206,179.9946,-23.9846
207,-71.6703,-30.5629
208,-121.3038333,36.6801667
209,-149.9359,55.862
210,-149.9868,55.7125
211,141.0643,36.526
212,120.7215,16.9676
213,170.573,53.9737
214,-150.1067,61.347
215,167.827,-11.982
216,-147.2279,60.3272
217,-151.631,61.6422
218,-147.5163,61.7329
219,-68.7064,-22.2627
220,129.358,-7.1839
221,127.0272,7.2454
222,-70.1267,-14.6844
223,-68.4373,18.194
224,142.7113,-6.2457
225,-151.5994,63.2732
226,-148.7502,56.4835
227,-150.0631,61.3745
228,72.8415,20.1681
229,-148.7064,56.326
230,-67.6915,19.2646
231,27.7998,-26.2678
232,-149.1111,56.9061
233,-124.1188333,40.3376667
234,-148.6885,56.4323
235,-148.5948,56.3318
236,-144.3463,69.3393
237,-86.3846,10.992
238,-150.0259,61.4842
239,-157.3834,66.2457
240,-88.5404,13.5684
241,-144.2559,69.6255
242,159.5408,-53.4107
243,125.3797,5.0358
244,71.4718,36.9305
245,-123.848,44.998
246,-155.5577,59.6522
247,-97.566,35.7312
248,-63.2279,-28.2256
249,-65.4126,18.6178
250,-127.0925,43.2634
251,-112.3726667,41.858
252,-148.4361,63.5762
253,155.6102,50.3698
254,-69.7476,-17.5653
255,20.9404,37.6498
256,179.1853,-37.5115
257,-74.2134,-42.7777
258,128.659,27.3707
259,-61.2167,15.3697
260,-166.7241,52.9646
261,-157.4271,66.2592
262,-162.6547,72.3184
263,137.8282,-4.6017
264,-66.7155,18.6951
265,-105.4965,37.6432
266,99.9126,-2.057
267,-155.1933333,19.3335
268,-34.486,56.6498
269,-144.1611,69.1817
270,-124.961,40.3748333
271,-117.485,37.2918
272,-117.4955,37.2931
273,-65.7996,19.5783
274,-65.407,19.5751
275,-64.5383,19.6743
276,-116.428,33.0408333
277,130.57,-6.0058
278,-18.9367,67.9607
279,-18.7503,67.9236
280,-117.7078333,36.0256667
281,117.8751,-8.099
282,-68.384,17.5271
283,126.1728,5.6687
284,94.1706,7.5429
